blockfacename,paidparkingarea,avg_occupancy,peak_hour_occupancy,spaces,hours_over_target,hours_under_target,hours_on_target,mean_adjustment,max_adjustment,min_adjustment,peak_hour,primary_action,paidparkingsubarea,lat,lon,time_limit,n_meters
ALASKAN WAY BETWEEN XW BELL ST AND WALL ST,Belltown,0.178,0.584,8.0,0,12,0,-1.646,-0.5,-2.0,18,decrease,North,47.61220724,-122.34987647,240.0,1
BATTERY ST BETWEEN 1ST AVE AND 2ND AVE,Belltown,0.455,0.624,25.0,0,12,0,-0.979,-0.25,-2.0,17,decrease,North,47.614489075,-122.34737247,240.0,2
BATTERY ST BETWEEN 2ND AVE AND 3RD AVE,Belltown,0.257,0.39,16.0,0,12,0,-1.875,-1.5,-2.0,19,decrease,North,47.615131885,-122.346535595,240.0,2
BATTERY ST BETWEEN 3RD AVE AND 4TH AVE,Belltown,0.213,0.399,6.0,0,12,0,-1.875,-1.5,-2.0,12,decrease,North,47.615831275000005,-122.34563104,240.0,2
BATTERY ST BETWEEN 4TH AVE AND 5TH AVE,Belltown,0.418,0.561,12.0,0,12,0,-1.271,-0.5,-2.0,11,decrease,North,47.616468935,-122.34480644,240.0,2
BATTERY ST BETWEEN 5TH AVE AND AURORA AVE,Belltown,0.566,0.873,10.0,2,9,1,-0.75,0.25,-1.75,13,decrease,North,47.61713906,-122.34395068,240.0,2
BATTERY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,Belltown,0.516,0.754,11.0,0,10,2,-0.792,0.0,-2.0,12,decrease,North,47.613162745,-122.3490801,240.0,2
BAY ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.243,0.366,10.0,0,12,0,-1.875,-1.5,-2.0,12,decrease,North,47.618126775,-122.355573505,240.0,2
BELL ST BETWEEN 3RD AVE AND 4TH AVE,Belltown,0.316,0.396,2.0,0,12,0,-1.729,-1.5,-2.0,12,decrease,South,47.61501529,-122.34425708,120.0,1
BELL ST BETWEEN 4TH AVE AND 5TH AVE,Belltown,0.145,0.275,5.0,0,12,0,-2.0,-2.0,-2.0,12,decrease,South,47.61568046,-122.34339648,120.0,1
BELL ST BETWEEN 5TH AVE AND 6TH AVE,Belltown,0.15,0.222,8.0,0,12,0,-2.0,-2.0,-2.0,14,decrease,South,47.61642924,-122.34267545,120.0,1
BELL ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.223,0.47,6.0,0,12,0,-1.792,-1.0,-2.0,18,decrease,South,47.61302495,-122.34684189,120.0,1
BLANCHARD ST BETWEEN 1ST AVE AND 2ND AVE,Belltown,0.196,0.365,21.0,0,12,0,-1.917,-1.5,-2.0,19,decrease,South,47.61296148,-122.344754055,120.0,2
BLANCHARD ST BETWEEN 2ND AVE AND 3RD AVE,Belltown,0.142,0.25,19.0,0,12,0,-2.0,-2.0,-2.0,19,decrease,South,47.613620005,-122.343905155,120.0,2
BLANCHARD ST BETWEEN 3RD AVE AND 4TH AVE,Belltown,0.243,0.345,14.0,0,12,0,-1.938,-1.75,-2.0,18,decrease,South,47.61429859,-122.343024675,120.0,2
BLANCHARD ST BETWEEN 4TH AVE AND 5TH AVE,Belltown,0.565,0.759,10.0,0,10,2,-0.667,0.0,-1.25,19,decrease,South,47.614959955,-122.34216925,120.0,2
BLANCHARD ST BETWEEN 5TH AVE AND 6TH AVE,Belltown,0.331,0.565,7.0,0,12,0,-1.646,-0.5,-2.0,18,decrease,South,47.61566637,-122.34138494,120.0,1
BLANCHARD ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.384,0.584,12.0,0,12,0,-1.333,-0.5,-2.0,12,decrease,South,47.612293585,-122.345617555,120.0,2
BROAD ST BETWEEN 2ND AVE AND 3RD AVE,Belltown,0.477,0.547,6.0,0,12,0,-0.979,-0.75,-2.0,13,decrease,North,47.61796364,-122.35129465,240.0,1
BROAD ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.415,0.533,5.0,0,12,0,-1.25,-0.75,-2.0,12,decrease,North,47.61664133,-122.35303647,240.0,1
CEDAR ST BETWEEN 1ST AVE AND 2ND AVE,Belltown,0.161,0.256,12.0,0,12,0,-2.0,-2.0,-2.0,13,decrease,North,47.61614903,-122.35016709,240.0,2
CEDAR ST BETWEEN 2ND AVE AND 3RD AVE,Belltown,0.276,0.416,12.0,0,12,0,-1.854,-1.25,-2.0,19,decrease,North,47.616793705,-122.34933403,240.0,2
CEDAR ST BETWEEN 3RD AVE AND 4TH AVE,Belltown,0.423,0.508,15.0,0,12,0,-1.229,-0.75,-2.0,11,decrease,North,47.617455245,-122.34846272,240.0,2
