paidparkingarea,hour_of_day,avg_occupancy,occupied_space_hours,target_space_hours,unsold_space_hours,spaces,n_blockfaces,revenue_per_posted_dollar
Cherry Hill,12,0.1531,1.8857836592267692,10.604461440407905,8.718677781181134,13.255576800509878,4,1.89
Cherry Hill,13,0.1627,2.0044473725331793,10.604461440407905,8.600130915123502,13.255576800509878,4,2.0
Cherry Hill,14,0.1655,2.05489952499884,10.604461440407905,8.549664820656567,13.255576800509878,4,2.05
Cherry Hill,15,0.1577,1.9522640525013,10.604046519037757,8.651782466536456,13.255058148797197,4,1.95
Cherry Hill,16,0.1295,1.5950724663042164,10.604046519037757,9.009003923691004,13.255058148797197,4,1.6
Cherry Hill,17,0.0877,1.112644577742442,10.603314212874444,9.490747311996245,13.254142766093054,4,1.11
Cherry Hill,18,0.0942,1.243143732646084,10.603314212874444,9.360170480228359,13.254142766093054,4,1.24
Cherry Hill,19,0.1412,1.936053777738818,10.603314212874444,8.667260435135626,13.254142766093054,4,1.94
Chinatown/ID,8,0.1203,1.1154078645529841,7.911143524887703,6.799722841812619,9.888929406109629,39,1.12
Chinatown/ID,9,0.2332,2.150521336758489,7.911318599453688,5.781041726763636,9.88914824931711,39,2.15
Chinatown/ID,10,0.333,3.0877209216117993,7.911030238867201,4.868374701678485,9.888787798584001,39,3.09
Chinatown/ID,11,0.4085,3.848887119801391,7.911233112298051,4.142325590069026,9.889041390372563,39,3.85
Chinatown/ID,12,0.4678,4.455316778144997,7.911632595726398,3.584445210169087,9.889540744657996,39,4.46
Chinatown/ID,13,0.4661,4.43982426174307,7.911557589676652,3.5988265176770162,9.889446987095814,39,4.44
Chinatown/ID,14,0.4131,3.907701106430516,7.911826322572118,4.093056165065304,9.889782903215147,39,3.91
Chinatown/ID,15,0.3599,3.4051717689803267,7.9118059227921735,4.561928816748036,9.889757403490217,39,3.41
Chinatown/ID,16,0.3358,3.1848297521269986,7.911381321350097,4.7698948312161615,9.88922665168762,39,3.18
Chinatown/ID,17,0.3907,3.740747565490217,7.9086089204055945,4.238425500976498,9.885761150506992,39,3.74
Chinatown/ID,18,0.5179,4.960454664614473,7.908531677018634,3.149931216023434,9.885664596273292,39,4.96
Chinatown/ID,19,0.5335,5.083536168006153,7.908641852606471,3.0587384633672494,9.885802315758088,39,5.08
Columbia City,8,0.1222,1.3468369769921775,8.238091286307055,6.892055369711373,10.297614107883817,11,1.35
Columbia City,9,0.2824,3.0034067547072434,8.240886954719718,5.262300781246252,10.301108693399648,11,3.0
Columbia City,10,0.3898,4.091136116247258,8.241077720207254,4.215458017094934,10.301347150259067,11,4.09
Columbia City,11,0.4461,4.602216136346723,8.241077720207254,3.7238002758730455,10.301347150259067,11,4.6
Columbia City,12,0.484,4.954641442324999,8.240994818652851,3.397577046647601,10.301243523316062,11,4.95
Columbia City,13,0.4533,4.619648205927065,8.240994818652851,3.7073978979532463,10.301243523316062,11,4.62
Columbia City,14,0.3861,3.8943966647085118,8.240886954719718,4.386570958991084,10.301108693399648,11,3.89
Columbia City,15,0.3522,3.5323506650795404,8.240994818652851,4.736171992206815,10.301243523316062,11,3.53
Columbia City,16,0.3699,3.7017598827005065,8.240779113137174,4.568205473350635,10.300973891421467,11,3.7
Columbia City,17,0.4289,4.293918596311634,8.241584569117496,3.9982995420837835,10.301980711396869,11,4.29
Columbia City,18,0.4842,4.866965798108783,8.241202695697254,3.4607673271022823,10.301503369621566,11,4.87
Columbia City,19,0.4584,4.612271054302525,8.241202695697254,3.7080554979115514,10.301503369621566,11,4.61
Commercial Core,8,0.279,2.105518064754423,6.507393183353539,4.430194205392028,8.134241479191923,95,2.11
Commercial Core,9,0.3654,2.7092915588829207,6.287760292236317,3.6414344062011574,7.859700365295396,95,2.71
