blockfacename,paidparkingarea,hour_of_day,avg_occupancy,spaces_observed,n_observations,spaces,rate_adjustment,action,projected_occupancy,occupancy_change_pts,revenue_delta_per_posted_dollar
15TH AVE E BETWEEN E HARRISON N ST AND E REPUBLICAN S ST,15th Avenue E,15,0.36,6.0,7,12,-1.5,decrease,0.467,10.8,-7.119
15TH AVE E BETWEEN E HARRISON N ST AND E REPUBLICAN S ST,15th Avenue E,16,0.371,6.0,7,12,-1.5,decrease,0.482,11.1,-7.339
15TH AVE E BETWEEN E HARRISON N ST AND E REPUBLICAN S ST,15th Avenue E,17,0.438,6.0,7,12,-1.25,decrease,0.547,10.9,-6.891
15TH AVE E BETWEEN E HARRISON N ST AND E REPUBLICAN S ST,15th Avenue E,18,0.456,6.0,7,12,-1.0,decrease,0.547,9.1,-5.467
15TH AVE E BETWEEN E HARRISON N ST AND E REPUBLICAN S ST,15th Avenue E,19,0.47,5.998819362455726,7,12,-1.0,decrease,0.564,9.4,-5.637
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,8,0.017,9.0,7,18,-2.0,decrease,0.024,0.7,-0.731
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,9,0.135,9.0,7,18,-2.0,decrease,0.188,5.4,-5.812
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,10,0.233,9.0,7,18,-2.0,decrease,0.326,9.3,-10.069
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,11,0.278,9.0,7,18,-2.0,decrease,0.389,11.1,-12.001
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,12,0.332,9.0,7,18,-1.75,decrease,0.449,11.6,-12.044
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,13,0.294,9.0,7,18,-2.0,decrease,0.411,11.8,-12.692
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,14,0.342,9.0,7,18,-1.75,decrease,0.462,12.0,-12.403
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,15,0.363,9.0,7,18,-1.5,decrease,0.472,10.9,-10.784
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,16,0.35,9.0,7,18,-1.5,decrease,0.455,10.5,-10.399
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,17,0.422,9.0,7,18,-1.25,decrease,0.527,10.5,-9.969
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,18,0.443,9.0,7,18,-1.25,decrease,0.554,11.1,-10.475
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,19,0.384,9.0,7,18,-1.5,decrease,0.499,11.5,-11.407
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,8,0.32,3.5,7,7,-1.75,decrease,0.432,11.2,-4.504
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,9,0.653,3.5,7,7,-0.25,decrease,0.686,3.3,-0.971
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,10,0.545,3.5,7,7,-0.75,decrease,0.626,8.2,-2.716
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,11,0.646,3.5,7,7,-0.25,decrease,0.679,3.2,-0.961
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,12,0.533,3.5,7,7,-0.75,decrease,0.613,8.0,-2.66
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,13,0.537,3.5,7,7,-0.75,decrease,0.618,8.1,-2.679
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,14,0.546,3.5,7,7,-0.75,decrease,0.628,8.2,-2.723
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,15,0.525,3.5,7,7,-0.75,decrease,0.604,7.9,-2.619
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,16,0.556,3.5,7,7,-0.5,decrease,0.612,5.6,-1.752
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,17,0.573,3.5,7,7,-0.5,decrease,0.63,5.7,-1.804
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,18,0.62,3.499409681227863,7,7,-0.25,decrease,0.651,3.1,-0.922
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,19,0.718,3.5,7,7,0.0,hold,0.718,0.0,0.0
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,8,0.157,1.5,7,3,-2.0,decrease,0.22,6.3,-1.131
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,9,0.134,1.5,7,3,-2.0,decrease,0.188,5.4,-0.966
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,10,0.298,1.5,7,3,-2.0,decrease,0.418,11.9,-2.149
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,11,0.285,1.5,7,3,-2.0,decrease,0.399,11.4,-2.051
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,12,0.157,1.5,7,3,-2.0,decrease,0.22,6.3,-1.131
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,13,0.172,1.5,7,3,-2.0,decrease,0.241,6.9,-1.24
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,14,0.215,1.5,7,3,-2.0,decrease,0.301,8.6,-1.549
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,15,0.261,1.5,7,3,-2.0,decrease,0.366,10.4,-1.88
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,16,0.388,1.5,7,3,-1.5,decrease,0.505,11.6,-1.921
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,17,0.238,1.5,7,3,-2.0,decrease,0.333,9.5,-1.714
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,18,0.213,1.5,7,3,-2.0,decrease,0.298,8.5,-1.531
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,19,0.325,1.5,7,3,-1.75,decrease,0.439,11.4,-1.965
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,8,0.19,5.0,7,5,-2.0,decrease,0.267,7.6,-2.286
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,9,0.306,5.0,7,5,-1.75,decrease,0.413,10.7,-3.081
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,10,0.34,5.0,7,5,-1.75,decrease,0.46,11.9,-3.426
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,11,0.239,5.0,7,5,-2.0,decrease,0.334,9.5,-2.863
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,12,0.231,5.0,7,5,-2.0,decrease,0.323,9.2,-2.769
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,13,0.338,5.0,7,5,-1.75,decrease,0.456,11.8,-3.402
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,14,0.376,5.0,7,5,-1.5,decrease,0.488,11.3,-3.1
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,15,0.351,5.0,7,5,-1.5,decrease,0.457,10.5,-2.899
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,16,0.299,5.0,7,5,-2.0,decrease,0.419,12.0,-3.589
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,17,0.166,5.0,7,5,-2.0,decrease,0.232,6.6,-1.989
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,18,0.157,5.0,7,5,-2.0,decrease,0.219,6.3,-1.88
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,19,0.204,5.0,7,5,-2.0,decrease,0.286,8.2,-2.451
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,8,0.29,7.0,7,7,-2.0,decrease,0.407,11.6,-4.88
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,9,0.367,7.0,7,7,-1.5,decrease,0.478,11.0,-4.243
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,10,0.232,7.0,7,7,-2.0,decrease,0.324,9.3,-3.891
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,11,0.222,7.0,7,7,-2.0,decrease,0.311,8.9,-3.731
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,12,0.176,7.0,7,7,-2.0,decrease,0.246,7.0,-2.949
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,13,0.261,7.0,7,7,-2.0,decrease,0.366,10.5,-4.39
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,14,0.3,7.0,7,7,-2.0,decrease,0.42,12.0,-5.034
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,15,0.216,7.0,7,7,-2.0,decrease,0.303,8.7,-3.634
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,16,0.243,7.0,7,7,-2.0,decrease,0.34,9.7,-4.08
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,17,0.25,7.0,7,7,-2.0,decrease,0.35,10.0,-4.2
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,18,0.26,7.0,7,7,-2.0,decrease,0.363,10.4,-4.361
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,19,0.377,7.0,7,7,-1.5,decrease,0.49,11.3,-4.35
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,8,0.347,4.0,7,4,-1.75,decrease,0.468,12.1,-2.794
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,9,0.451,4.0,7,4,-1.0,decrease,0.541,9.0,-1.805
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,10,0.399,4.0,7,4,-1.5,decrease,0.518,12.0,-2.632
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,11,0.302,4.0,7,4,-1.75,decrease,0.407,10.6,-2.429
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,12,0.225,4.0,7,4,-2.0,decrease,0.315,9.0,-2.16
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,13,0.237,4.0,7,4,-2.0,decrease,0.332,9.5,-2.274
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,14,0.261,4.0,7,4,-2.0,decrease,0.366,10.5,-2.509
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,15,0.195,4.0,7,4,-2.0,decrease,0.273,7.8,-1.874
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,16,0.194,4.0,7,4,-2.0,decrease,0.272,7.8,-1.863
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,17,0.17,4.0,7,4,-2.0,decrease,0.237,6.8,-1.629
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,18,0.212,4.0,7,4,-2.0,decrease,0.297,8.5,-2.04
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,19,0.324,4.0,7,4,-1.75,decrease,0.438,11.4,-2.611
