blockfacename,paidparkingarea,paidparkingsubarea,lat,lon,spaces,time_limit,n_meters
2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,Pioneer Square,Edge,47.59960565,-122.32990794,5,120.0,1
2ND AV ET S BETWEEN S MAIN ST AND S WASHINGTON ST,Pioneer Square,Edge,47.60049119,-122.33087051499999,9,120.0,2
2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,Pioneer Square,Edge,47.60129649,-122.33145426,4,120.0,1
2ND AVE BETWEEN BATTERY ST AND WALL ST,Belltown,North,47.61506604,-122.347388425,10,240.0,2
2ND AVE BETWEEN BELL ST AND BATTERY ST,Belltown,North,47.614391075,-122.346256845,20,240.0,2
2ND AVE BETWEEN BLANCHARD ST AND BELL ST,Belltown,South,47.613629294999996,-122.344962135,9,120.0,2
2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,Belltown,North,47.617922300000004,-122.35224033,12,240.0,2
2ND AVE BETWEEN CEDAR ST AND CLAY ST,Belltown,North,47.6167289,-122.35020653000001,12,240.0,2
2ND AVE BETWEEN CLAY ST AND BROAD ST,Belltown,North,47.617291435,-122.35115795499999,7,240.0,2
2ND AVE BETWEEN COLUMBIA ST AND MARION ST,Commercial Core,Financial,47.60408368,-122.33414784,12,120.0,2
2ND AVE BETWEEN JAMES ST AND CHERRY ST,Pioneer Square,Core,47.60269033,-122.332714,2,120.0,1
2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,Belltown,South,47.61293327,-122.3436157,9,120.0,1
2ND AVE BETWEEN MADISON ST AND SPRING ST,Commercial Core,Financial,47.60555459,-122.33534782,6,120.0,1
2ND AVE BETWEEN MARION ST AND MADISON ST,Commercial Core,Financial,47.60483804,-122.3346924,3,120.0,1
2ND AVE BETWEEN PIKE ST AND PINE ST,Commercial Core,Retail,47.6097219,-122.33945111,7,120.0,1
2ND AVE BETWEEN PINE ST AND STEWART ST,Commercial Core,Retail,47.610610824999995,-122.34012386500001,6,120.0,2
2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST,Commercial Core,Retail,47.606931689999996,-122.336755435,16,120.0,2
2ND AVE BETWEEN SPRING ST AND SENECA ST,Commercial Core,Financial,47.60626322,-122.33601514,4,120.0,1
2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,Belltown,South,47.6113408,-122.341101605,21,120.0,2
2ND AVE BETWEEN UNION ST AND PIKE ST,Commercial Core,Retail,47.608779075,-122.338445525,8,120.0,2
2ND AVE BETWEEN VINE ST AND CEDAR ST,Belltown,North,47.616189585,-122.34928551,11,240.0,2
2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,Belltown,South,47.6121099,-122.342399,10,120.0,2
2ND AVE BETWEEN WALL ST AND VINE ST,Belltown,North,47.615640745,-122.34836971,18,240.0,2
2ND AVE BETWEEN YESLER WAY AND JAMES ST,Pioneer Square,Core,47.60201883,-122.33241002,3,120.0,1
2ND AVE N BETWEEN DENNY WAY AND JOHN ST,Uptown,,47.61920357,-122.3526927,11,240.0,1
2ND AVE N BETWEEN MERCER ST AND ROY ST,Uptown,,47.625009000000006,-122.35278448,7,240.0,2
2ND AVE N BETWEEN SCIENCE CENTER WKWY AND THOMAS ST,Uptown,,47.62036489,-122.35293883,8,240.0,1
2ND AVE NE BETWEEN WOODLAWN S AVE NE AND EAST GREEN LAKE WAY N,Green Lake,,47.677966305,-122.327368775,11,120.0,2
2ND AVE S BETWEEN S JACKSON ST AND S KING ST,Pioneer Square,Edge,47.598768815,-122.33157309,21,120.0,2
2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,Pioneer Square,Core,47.599625015,-122.331573495,11,120.0,2
2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,Pioneer Square,Core,47.600449235,-122.33156853,23,120.0,2
2ND AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST,Uptown,,47.622700365,-122.359335875,26,240.0,2
2ND AVE W BETWEEN W MERCER ST AND W ROY ST,Uptown,,47.6251721,-122.35941045,4,240.0,1
2ND AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,Uptown,,47.623937585,-122.359326775,18,240.0,2
2ND AVE W BETWEEN W THOMAS ST AND W HARRISON ST,Uptown,,47.621532795,-122.35934437,17,240.0,2
2ND AVE W BETWEEN WESTERN AVE W AND W THOMAS ST,Uptown,,47.620366489999995,-122.359353655,15,240.0,2
37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,Columbia City,,47.55825614,-122.28620595,9,240.0,1
37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,Columbia City,,47.55743593,-122.28608789,8,240.0,1
3RD AVE BETWEEN BATTERY ST AND WALL ST,Belltown,North,47.61575654,-122.346560315,13,240.0,2
3RD AVE BETWEEN BELL ST AND BATTERY ST,Belltown,North,47.61500973,-122.34549499,7,240.0,1
3RD AVE BETWEEN BLANCHARD ST AND BELL ST,Belltown,South,47.61432061,-122.34413793,16,120.0,2
3RD AVE BETWEEN CEDAR ST AND CLAY ST,Belltown,North,47.617414795,-122.34936562,14,240.0,2
3RD AVE BETWEEN CLAY ST AND BROAD ST,Belltown,North,47.617963,-122.350299225,16,240.0,2
3RD AVE BETWEEN LENORA ST AND BLANCHARD ST,Belltown,South,47.613551279999996,-122.34283676000001,15,120.0,2
3RD AVE BETWEEN STEWART ST AND VIRGINIA ST,Belltown,South,47.61195283,-122.34031804,3,120.0,1
3RD AVE BETWEEN WALL ST AND VINE ST,Belltown,North,47.616306984999994,-122.347491565,19,240.0,2
3RD AVE N BETWEEN MERCER ST AND ROY ST,Uptown,,47.62503968,-122.35158492,2,240.0,1
3RD AVE S BETWEEN S MAIN ST AND S JACKSON ST,Pioneer Square,Edge,47.59942516,-122.33021365,2,120.0,1
3RD AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,Pioneer Square,Edge,47.601287049999996,-122.33025635499999,6,120.0,2
3RD AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST,Uptown,,47.622710505,-122.36063847,15,240.0,2
3RD AVE W BETWEEN W MERCER ST AND W ROY ST,Uptown,,47.62517435,-122.3605438,2,120.0,1
3RD AVE W BETWEEN W THOMAS ST AND W THOMAS ST OVERPASS,Uptown,,47.62137228,-122.36077359,4,240.0,1
3RD AVE W BETWEEN W THOMAS ST OVERPASS AND W HARRISON ST,Uptown,,47.62195494,-122.36052619,2,240.0,1
4TH AVE BETWEEN BATTERY ST AND WALL ST,Belltown,North,47.61648112,-122.34561889,9,240.0,1
4TH AVE BETWEEN BELL ST AND BATTERY ST,Belltown,North,47.61575276,-122.34457192,13,240.0,2
4TH AVE BETWEEN BLANCHARD ST AND BELL ST,Belltown,South,47.614966455,-122.343268835,23,120.0,2
4TH AVE BETWEEN CEDAR ST AND CLAY ST,Belltown,North,47.61807747500001,-122.34851949,7,240.0,2
4TH AVE BETWEEN COLUMBIA ST AND MARION ST,Commercial Core,Financial,47.60505018,-122.33182648,6,120.0,1
4TH AVE BETWEEN DILLING WAY AND JEFFERSON ST,Pioneer Square,Edge,47.60241664,-122.32943221,1,120.0,1
4TH AVE BETWEEN LENORA ST AND BLANCHARD ST,Belltown,South,47.614215735,-122.34197427500001,14,120.0,2
4TH AVE BETWEEN MADISON ST AND SPRING ST,Commercial Core,Financial,47.60643896,-122.33325666,10,120.0,2
4TH AVE BETWEEN SENECA ST AND UNIVERSITY ST,Commercial Core,Retail,47.607861150000005,-122.33453767,10,120.0,2
4TH AVE BETWEEN STEWART ST AND VIRGINIA ST,Belltown,South,47.61261182,-122.33945509,6,120.0,1
4TH AVE BETWEEN UNION ST AND PIKE ST,Commercial Core,Retail,47.60967604,-122.33632481,6,120.0,1
4TH AVE BETWEEN VINE ST AND CEDAR ST,Belltown,North,47.617516890000005,-122.347561765,12,240.0,2
4TH AVE BETWEEN VIRGINIA ST AND LENORA ST,Belltown,South,47.613448695,-122.340686065,8,120.0,2
4TH AVE BETWEEN WALL ST AND VINE ST,Belltown,North,47.616958600000004,-122.34662982,12,240.0,2
4TH AVE N BETWEEN DENNY WAY AND BROAD ST,Uptown Triangle,,47.61910456,-122.348915515,10,240.0,2
4TH AVE NE BETWEEN WOODLAWN S AVE NE AND EAST GREEN LAKE WAY N,Green Lake,,47.678204615,-122.32651025,11,120.0,2
4TH AVE W BETWEEN ELLIOTT AVE W AND W HARRISON ST,Uptown,,47.621845685,-122.36195574999999,7,240.0,2
4TH AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST,Uptown,,47.622711464999995,-122.361947905,19,240.0,2
5TH AVE BETWEEN BATTERY ST AND WALL ST,Belltown,North,47.617086085,-122.34483706500001,18,240.0,2
5TH AVE BETWEEN BELL ST AND BATTERY ST,Belltown,North,47.616415445,-122.343706455,25,240.0,2
5TH AVE BETWEEN BLANCHARD ST AND BELL ST,Belltown,South,47.615648065,-122.3424234,23,120.0,2
5TH AVE BETWEEN LENORA ST AND BLANCHARD ST,Belltown,South,47.61487803,-122.341120475,17,120.0,2
5TH AVE BETWEEN MADISON ST AND SPRING ST,Commercial Core,Financial,47.60687895,-122.33220159,6,120.0,1
5TH AVE BETWEEN MARION ST AND MADISON ST,Commercial Core,Financial,47.60621283,-122.33137792,6,120.0,1
5TH AVE BETWEEN STEWART ST AND VIRGINIA ST,Belltown,South,47.61335137499999,-122.338513605,14,120.0,2
5TH AVE BETWEEN TAYLOR AVE AND DENNY WAY,Belltown,North,47.61833045,-122.34697587,8,240.0,2
5TH AVE BETWEEN TERRACE ST AND JEFFERSON ST,Commercial Core,Financial,47.60258173,-122.32829027,4,120.0,1
5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,Belltown,South,47.614112755,-122.33981371499999,24,120.0,2
5TH AVE BETWEEN WALL ST AND VINE ST,Belltown,North,47.61763782,-122.34576995500001,16,240.0,2
5TH AVE N BETWEEN JOHN ST AND BROAD ST,Uptown Triangle,,47.62015028,-122.34771286,3,240.0,1
5TH AVE N BETWEEN MERCER ST AND ROY ST,Uptown,,47.62500038,-122.347557725,7,240.0,2
5TH AVE N BETWEEN ROY ST AND VALLEY ST,Uptown,,47.625850595,-122.3475205,9,240.0,2
5TH AVE N BETWEEN VALLEY ST AND ALOHA ST,Uptown,,47.626719019999996,-122.347553605,13,240.0,2
5TH AVE S BETWEEN S KING ST AND S WELLER ST,Chinatown/ID,,47.59793881,-122.32758781,6,120.0,1
5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,Chinatown/ID,,47.59669714,-122.327679175,12,120.0,2
6TH AVE BETWEEN BATTERY ST AND WALL ST,Denny Triangle,North,47.617780620000005,-122.344044275,11,240.0,2
6TH AVE BETWEEN BELL ST AND BATTERY ST,Denny Triangle,North,47.61700881,-122.34293648,9,240.0,1
6TH AVE BETWEEN BLANCHARD ST AND BELL ST,Denny Triangle,North,47.616307515,-122.34155693,21,240.0,2
6TH AVE BETWEEN COLUMBIA ST AND MARION ST,Commercial Core,Financial,47.60591026,-122.32978967,20,120.0,1
6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,Denny Triangle,North,47.6154538,-122.34032614,10,240.0,1
6TH AVE BETWEEN OLIVE WAY AND STEWART ST,Denny Triangle,South,47.61337529,-122.33664107,9,120.0,2
6TH AVE BETWEEN PIKE ST AND PINE ST,Commercial Core,Retail,47.611633775,-122.334920425,17,120.0,2
6TH AVE BETWEEN UNION ST AND PIKE ST,Commercial Core,Retail,47.61061354,-122.33409932,9,120.0,1
6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,Commercial Core,Retail,47.609653145,-122.33309876499999,7,120.0,2
6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,Denny Triangle,South,47.614767685000004,-122.33895064000001,10,120.0,2
6TH AVE BETWEEN WALL ST AND DENNY WAY,Denny Triangle,North,47.61820358,-122.34494996,8,240.0,1
6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,Denny Triangle,South,47.6141992,-122.33799256,8,120.0,2
6TH AVE N BETWEEN DEAD END 1 AND ROY ST,Uptown,,47.625066005,-122.34495655,11,240.0,2
6TH AVE N BETWEEN DENNY WAY AND JOHN ST,Uptown Triangle,,47.619162315,-122.345006305,18,600.0,2
6TH AVE N BETWEEN JOHN ST AND THOMAS ST,Uptown Triangle,,47.62031471,-122.344991015,34,600.0,2
6TH AVE N BETWEEN ROY ST AND VALLEY ST,Uptown,,47.62584165,-122.34499983,3,240.0,1
6TH AVE N BETWEEN VALLEY ST AND ALOHA ST,Uptown,,47.62670975,-122.34488724,10,240.0,1
6TH AVE S BETWEEN S JACKSON ST AND S KING ST,Chinatown/ID,,47.598771240000005,-122.32636221499999,10,120.0,2
6TH AVE S BETWEEN S KING ST AND S WELLER ST,Chinatown/ID,,47.59793449,-122.326365495,15,120.0,2
6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,Chinatown/ID,,47.596278635000004,-122.32637204,12,120.0,2
6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,Chinatown/ID,,47.599612405,-122.32635880000001,13,120.0,2
6TH AVE S BETWEEN S WELLER ST AND S LANE ST,Chinatown/ID,,47.597086149999996,-122.326368825,12,120.0,2
